"","Mini","Site","Point","Sample","Branching_density","Broken_density","D_bin","D_gray","L","I","S","Old_density","Sphericity","DR1","DR2","DR3","Alive","Dead","Total","Alive_Density","Total_Density","Alive_Total","Dry_weight"
"17","MBE_2","Belle-ile","Belle-ile 2",5,1,0,1.0608,2.6647,14,9.40666666666667,6.53333333333333,1311,0.68691333538894,0.466666666666666,0.615178571428571,0.671904761904762,219,1217,1436,14016,91904,0.152506964,174.47
"18","MBE_2","Belle-ile","Belle-ile 2",6,5.8,0,1.0937,2.6713,14.3766666666667,12.0533333333333,8.54666666666667,1311,0.74979531175574,0.594481799211684,0.398513436249295,0.838395548342217,219,1217,1436,14016,91904,0.152506964,174.47
"19","MBE_2","Belle-ile","Belle-ile 2",7,5.8,0.4,1.1483,2.6598,14.6466666666667,12.3866666666667,9.03666666666667,1311,0.766374582278964,0.616977696859353,0.402852049910871,0.845698680018207,219,1217,1436,14016,91904,0.152506964,174.47
"20","MBE_2","Belle-ile","Belle-ile 2",8,4.6,0,1.1484,2.6492,14.09,11.5333333333333,7.1,1311,0.676940170963023,0.503903477643719,0.365760610395808,0.818547433167729,219,1217,1436,14016,91904,0.152506964,174.47
"21","MBE_2","Belle-ile","Belle-ile 2",9,2,0.2,1.1008,2.6672,13.9766666666667,10.4733333333333,6.76333333333333,1311,0.678595565038063,0.483901740996898,0.48567467652496,0.749344145003573,219,1217,1436,14016,91904,0.152506964,174.47
"22","MBE_2","Belle-ile","Belle-ile 2",10,5,0.2,1.1141,2.6532,19.67,10.5266666666667,7.45,1311,0.644771409254399,0.378749364514489,0.748226950354607,0.535163531604814,219,1217,1436,14016,91904,0.152506964,174.47
"23","MBE_2","Belle-ile","Belle-ile 2",11,4.6,0,1.1277,2.672,17.39,13.9733333333333,7.78666666666667,1311,0.62955622428171,0.447766915852022,0.355779243318296,0.803526931186504,219,1217,1436,14016,91904,0.152506964,174.47
"24","MBE_2","Belle-ile","Belle-ile 2",12,4.6,0.4,1.1163,2.6393,15.4666666666667,8.01,7.19666666666667,1311,0.747729493110108,0.46530172413793,0.901652559451835,0.517887931034482,219,1217,1436,14016,91904,0.152506964,174.47
"25","MBE_3","Belle-ile","Belle-ile 3",1,2.4,0.2,1.0901,2.6613,14.7433333333333,11.0666666666667,7.92333333333333,1311,0.727334933156453,0.537418042052906,0.539100684261967,0.750621749943481,220,1312,1532,14080,98048,0.143603133,116.43
"26","MBE_3","Belle-ile","Belle-ile 3",2,6,0,1.1283,2.6621,14.5366666666667,8.51,6.35,1311,0.688204782294013,0.436826415959641,0.736156351791532,0.585416188947488,220,1312,1532,14080,98048,0.143603133,116.43
"27","MBE_3","Belle-ile","Belle-ile 3",3,6.8,0,1.1271,2.6434,12.86,8.04666666666667,7.22333333333333,1311,0.795926157805526,0.561689994815967,0.853932584269662,0.62571280456195,220,1312,1532,14080,98048,0.143603133,116.43
"28","MBE_3","Belle-ile","Belle-ile 3",4,6.2,0.6,1.1307,2.6605,16.1933333333333,15.0766666666667,11.0733333333333,1311,0.794886374607561,0.683820502264306,0.21809895833332,0.931041580897493,220,1312,1532,14080,98048,0.143603133,116.43
"29","MBE_3","Belle-ile","Belle-ile 3",5,4,0,1.109,2.6282,12.0966666666667,8.43,6.26666666666667,1311,0.727545178564559,0.518049049324882,0.628930817610065,0.69688619454395,220,1312,1532,14080,98048,0.143603133,116.43
"30","MBE_3","Belle-ile","Belle-ile 3",6,4.8,0.4,1.1,2.6491,15.5233333333333,11.27,7.27,1311,0.670996066328686,0.468327249302127,0.515347334410337,0.726003865149239,220,1312,1532,14080,98048,0.143603133,116.43
"31","MBE_3","Belle-ile","Belle-ile 3",7,3.8,1.2,1.0962,2.6132,11.84,8.47333333333333,6.56333333333333,1311,0.754421939378839,0.554335585585585,0.638029058749211,0.715653153153153,220,1312,1532,14080,98048,0.143603133,116.43
"32","MBE_3","Belle-ile","Belle-ile 3",8,8.4,0.2,1.1915,2.6622,16.48,14.1533333333333,11.3,1311,0.818050877497461,0.685679611650485,0.449163449163456,0.858818770226535,220,1312,1532,14080,98048,0.143603133,116.43
"33","MBE_3","Belle-ile","Belle-ile 3",9,10.4,0.2,1.1456,2.6484,12.3166666666667,9.27,7.98,1311,0.823147417860394,0.647902571041947,0.702536510376636,0.752638700947224,220,1312,1532,14080,98048,0.143603133,116.43
"34","MBE_3","Belle-ile","Belle-ile 3",10,2.6,0.6,1.1559,2.6736,21.4966666666667,15.08,11.9833333333333,1311,0.762302958753162,0.55745076756086,0.674491941135248,0.70150410916421,220,1312,1532,14080,98048,0.143603133,116.43
"35","MBE_3","Belle-ile","Belle-ile 3",11,6.6,0.4,1.1489,2.6732,18.7733333333333,15.2933333333333,12.9266666666667,1311,0.834916770767057,0.688565340909094,0.595210946408217,0.814630681818181,220,1312,1532,14080,98048,0.143603133,116.43
"36","MBE_3","Belle-ile","Belle-ile 3",12,4.6,0,1.1532,2.657,14.8266666666667,10.91,6.70666666666667,1311,0.652702169585054,0.452338129496402,0.482348111658459,0.73583633093525,220,1312,1532,14080,98048,0.143603133,116.43
"37","MCM_1","Camaret","Camaret 1",1,8.4,0.8,1.1468,2.7204,19.3833333333333,14.42,10.99,1322,0.756021048110547,0.566981943250216,0.591342335186654,0.743938091143595,48,107,155,3072,9920,0.309677419,29.89
"38","MCM_1","Camaret","Camaret 1",2,4.8,0,1.1523,2.6581,18.13,13.0833333333333,7.28333333333333,1322,0.606989792204836,0.401728258871116,0.465273509526739,0.721640007354291,48,107,155,3072,9920,0.309677419,29.89
"39","MCM_1","Camaret","Camaret 1",3,3.6,0.4,1.1174,2.6699,12.6533333333333,9.71,5.33333333333333,1322,0.614032123738537,0.421496311907272,0.402094717668485,0.767386722866177,48,107,155,3072,9920,0.309677419,29.89
